candidate_id,rank,score,reasoning
CAND_0007412,89,0.807412,Zoho's Applied ML Engineer (7.4 years) shows limited alignment with JD requirements.
CAND_0009691,90,0.807061,LinkedIn's Applied ML Engineer (6.2 years) shows limited alignment with JD requirements.
CAND_0006557,91,0.806520,"With 7.9 years as NLP Engineer, making this a borderline fit."
CAND_0057701,92,0.805391,"Recommendation Systems Engineer with 4.1 years, making this a borderline fit."
CAND_0095457,93,0.803300,"Data Scientist with 4.1 years of experience, suggesting limited fit."
CAND_0035315,94,0.802815,Zoho's Data Scientist (4.9 years) shows limited alignment with JD requirements.
CAND_0018722,95,0.801250,"With 6.6 years as Recommendation Systems Engineer, making this a borderline fit."
CAND_0053605,96,0.800313,"Senior Software Engineer (ML) with 6.9 years, making this a borderline fit."
CAND_0042029,97,0.800000,"Senior Data Scientist with 6.5 years, making this a borderline fit."
CAND_0054394,98,0.799838,"Recommendation Systems Engineer with 4.1 years of experience, suggesting limited fit."
CAND_0032216,99,0.797866,upGrad's ML Engineer (6.1 years) shows limited alignment with JD requirements.
CAND_0073007,100,0.795528,"AI Specialist with 5.8 years, making this a borderline fit."
